V1,uid,Q9_1,Q9_2,Q10_1,Q11,Q11_TEXT,Q12,Q12_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11
R_a8W7QqPrD1v4Y5X,oWHGBei3dY4SjyLpw,2,2,3,2,,9,I sometimes miss actual meals so snacks serve as a supplement.,4,2,3,3,7,3,2,5,4,4,4,2
R_2WOMLebZsSQUhl8,vHTKf9kPuCEvY8Fb8,2,4,3,3,,6,,4,1,1,7,2,7,1,1,7,7,1,7
R_2PARpJmGK0poNOU,ZNHoLFfThXn3dxpiE,4,5,2,1,,1,,4,3,7,7,7,7,1,5,7,6,6,7
R_2qt11A6KNNh4fmP,NvQHkQfCNThsLfjfy,1,2,3,1,,3,,4,7,1,4,6,7,3,2,3,5,6,7
R_PBccXiObWbCCHQZ,8nBmn9tiXEPEpabJq,1,1,4,5,,6,,4,7,4,3,7,1,7,2,4,4,1,1
R_1Q9tnhc7ZcUb1Ci,bWNtxPkGd8xNqDf2H,3,4,1,1,,1,,4,1,6,6,7,7,3,4,7,6,2,5
R_tPSrXCwjwMqL9XX,Af6EwezJnoFReEpua,3,3,1,2,,2,,4,7,2,7,7,2,7,7,7,7,7,7
R_1jy0S4ctImUBxSY,BNHYtgF3y6oE5Z7KQ,2,3,3,2,,3,,4,7,5,7,7,7,4,2,4,3,1,3
R_2RUQFCmsQRopDOs,yYx4x55HrFLHFahMb,3,3,2,1,,6,,4,7,6,5,7,6,2,7,7,7,5,5
R_3EiiU86zmQva0Qj,5eAZsM6sSPgLp2AGc,2,3,2,2,,4,,4,2,4,6,6,3,2,5,4,3,2,1
R_3h3CHbEKYwOi9Ks,MYDbh5c4b3ziMKmbt,1,1,3,5,,4,,4,4,5,5,5,4,2,2,7,6,2,5
R_32IWOeLFg4Am5ql,QzQ7qWvZvRxG3DTiQ,2,2,3,2,,3,,4,6,5,7,2,6,1,2,4,2,1,7
R_9poWYTeTUP4iFVf,MA2uPdyzNp9BQAqer,3,3,2,2,,2,,4,7,4,6,7,4,4,3,5,6,2,4
R_1jv5zfFaaOSWj1e,JzmhwhLyzer2RAe6v,3,4,1,1,,2,,4,6,6,7,7,5,1,3,1,7,2,7
R_2RWVL8wZIkLfZC2,udy3MprwBQ5HiyMCT,2,3,2,2,,3,,4,7,4,7,7,7,1,1,5,6,5,7
R_1I6HbizbMNpxdPI,QFG552t36L3EZH7Jy,1,1,3,1,,6,,4,7,2,7,2,4,1,7,7,3,7,5
R_3MQmzObPUTwIWD0,pJmeMQeWgG5t6W9qP,4,4,2,2,,1,,4,2,7,7,7,7,1,1,6,3,2,2
R_1hVWA5ClkKnHNaC,ShADd3RgtYRfwa2MZ,1,2,3,3,,6,,4,7,3,4,7,5,3,5,7,4,5,4
R_Rf9iRfnIqPLRF17,jDE43c8DM6a8vfhLt,3,5,2,1,,3,,4,4,5,7,7,6,2,1,4,5,1,1
R_1onjal96fq89ySk,LcANkd9aNJ5k5m36D,2,2,2,2,,6,,4,7,4,3,7,2,1,3,6,3,1,4
R_1QXbT7wosW7MhKV,btruDZRTdLHpSMw8Z,3,4,2,2,,2,,4,7,7,7,7,3,1,7,7,4,7,1
R_3M39OhMvaWo4bOF,kfECEEcmNpeJczEMF,1,3,3,5,,5,,4,3,7,6,7,7,1,1,2,6,7,7
R_3nOA7h4RrTqfbEc,k3GpWCr7PFT6C8hp7,3,3,2,2,,6,,4,7,6,7,4,7,5,1,3,6,4,4
R_3HYLJadAfC6a32z,naXyBAkcHQnvmWAq2,2,3,3,3,,5,,4,7,7,7,5,2,7,7,7,7,7,2
R_prQM0eNwpJlzlSh,AQxTawn2raLNgqZ3P,2,3,2,2,,5,,4,7,5,4,4,6,3,3,4,3,2,4
R_wMHsIKIMJoy67oR,5myTGNQJvs2WKRHzh,2,4,2,2,,5,,4,2,7,7,7,7,1,3,7,7,2,7
R_2ScvbedYE8oE3cr,65rkkh9mvCWJswXdW,1,3,3,2,,3,,4,7,5,5,7,5,1,4,6,2,2,3
R_30jiq2sMUkOvud9,DE4yEJwaXQHEzKcQa,4,3,2,2,,3,,4,7,3,7,7,4,6,7,7,6,4,7
R_20P8y2DCuWIN5vV,uiWHRDoF5BGb4wL2S,2,4,2,2,,3,,4,6,5,7,7,2,1,3,6,2,4,7
R_3Gy8p5GrSwSyTvK,gMminThzBtZJ7uSsx,3,3,2,2,,4,,4,4,5,6,6,7,1,3,6,5,2,7
R_2zl1i0uADz2qDcj,eCXK2ArfS3criAJTB,3,2,2,2,,6,,4,7,4,5,5,5,4,5,6,3,3,5
R_x6glXcQEQmrLpyV,qSx3DCWftYj2wsCyv,3,2,3,3,,6,,4,1,4,6,7,7,4,7,7,5,5,1
R_3NDKWQKbTWxfXAQ,e3qn8csAYTbHfMxkK,2,3,2,2,,8,,4,1,4,7,7,7,4,7,3,6,3,4
R_2VxcpddZMwuxXnT,46jJ5bQRXvenhFmTb,1,1,3,5,,6,,4,6,3,3,5,4,5,6,6,5,2,2
R_2QGycircxsR1jSp,JYCXAYdtPkWscrdLB,2,3,2,1,,3,,4,7,7,7,7,7,3,2,5,4,2,1
R_riOjynoPedRPBYt,47GQnCY9tKY6QcziM,1,3,3,2,,6,,4,7,6,1,6,5,6,7,7,5,2,7
R_1cTfp6D4eHa9Xob,e39vqG226v3BajR5r,2,2,3,3,,3,,4,6,4,6,4,5,2,4,6,6,5,4
R_1g0X4p0HP0CX7Ge,9ywHQR3mBPMwFxoz9,1,1,3,2,,3,,4,7,1,6,6,4,1,4,5,4,3,4
R_e3WcFYehiowMmmB,JSbt6gZfMo7joBzGv,3,3,1,2,,5,,4,5,5,6,7,6,2,2,3,3,3,2
R_r3ymY1EIfKi3xfz,jfQvpyg84WrSgRNqv,4,5,1,1,,1,,4,7,5,6,7,7,6,5,5,7,2,2
R_1r7eXeTZ2QH0Fa7,q7T5qjCJmLKiFDM7B,2,2,2,1,,8,,4,6,7,7,5,7,2,4,4,7,2,1
R_3hsifq33rRrY2Om,r7ouGiTYscdMz7S96,1,1,4,5,,3,,4,2,1,7,7,7,7,7,7,4,2,1
R_SVkCSyvVz2Qq67n,CBqTRZWRzXAgfN9Yy,2,4,3,2,,3,,4,2,4,6,6,6,2,4,5,5,2,5
R_3Eu3VOFNDzOkzUK,Ny9gao85Xj9EsukBG,1,4,3,2,,4,,4,3,7,7,7,7,1,1,4,7,1,1
R_RUIYVHQXgY3MWjv,Rj9tu78F5w6w3X4H6,3,4,2,2,,5,,4,7,7,7,7,7,2,1,7,7,1,7
R_1rlbLmEhC560A7A,PDvjktHFMxvmMiCXZ,3,4,2,1,,1,,4,7,6,5,5,6,2,5,5,6,2,7
R_2b2z22gqVc40CJs,yqM2BRFq8ZRfjjLkq,2,4,2,2,,2,,4,7,6,7,7,6,1,1,7,7,4,7
R_2vd1FX3LAgFjBmg,sffrXtuXr5TiAB4mp,2,3,2,2,,3,,4,7,4,6,6,5,2,3,5,2,2,2
R_8CkWGUalbGijYwp,EKWRiN76o86oB7anS,3,3,1,1,,2,,4,7,4,6,7,5,2,2,4,4,3,1
R_1Fr1GjGa0qJYgdo,WPYRr5aobwBj73DEK,1,2,3,2,,6,,4,4,2,4,3,2,2,2,6,1,2,5
R_1oaRN1h2xdGn35i,Qqh6muXhTuf3GrNiT,3,3,2,2,,5,,4,7,6,7,7,2,2,4,4,5,3,1
R_2febrJg471TwyAV,uaKgcq3eKvpoHhiRp,2,4,3,2,,6,,4,7,6,1,7,3,2,4,7,1,4,1
R_CkmJOG6Kq7E3yQF,PxTtMMdoKkhi9R3EA,2,2,3,2,,2,,4,2,2,4,7,5,2,3,6,3,1,4
R_1DvF4ZSOla2fPW9,P3KQ9YkjZxt4RLM8n,3,3,2,1,,3,,4,1,2,5,6,6,2,2,2,6,1,2
R_1OoRLOKOcMTI6Wr,w7iHdtHuvS62tpX9A,3,2,2,1,,6,,4,7,5,5,7,7,4,7,3,7,3,6
R_2zXQWG69B7QjEkC,2uka6dm2y2BiZJ2zv,2,3,1,1,,6,,4,7,6,5,7,3,4,7,7,3,2,1
R_3lPRiWj9QWKu1ru,yGMwpC8mFpdaBHsxc,4,3,2,2,,6,,4,2,4,5,3,4,1,2,6,6,2,7
R_1OCgZQfrWBtFpcA,veJrsxDb3LXrES4xG,2,4,2,2,,4,,4,1,7,7,7,7,2,2,7,5,3,4
R_2wnThLclnYQ2E6h,uSMjBeZWWWbr389eX,3,2,3,1,,6,,4,7,4,7,7,6,1,4,3,5,3,5
R_2wnshwMKB47xRap,L4ym7sk99zbs7SpRS,2,3,2,2,,5,,4,7,2,4,7,7,1,1,6,6,1,2
R_265BB3emtDnLNFR,tDQkgwFiLneeqykeP,2,2,2,2,,3,,4,7,6,3,7,7,4,7,7,5,5,7
R_yKDHTM21w5s8gzT,DJkv5Fv9S4kWNyB3h,1,2,4,1,,7,,4,7,1,1,3,6,2,3,4,2,1,2
R_R4FP43lywH088Zb,8LxJGcCiZ4Qc6jQuJ,3,1,2,5,,1,,4,7,2,4,7,6,1,2,4,4,1,4
R_3ebhOqqAnhBidgK,sd2kFccpmJrtKtWXt,2,3,2,1,,3,,4,7,4,7,4,4,3,6,7,7,1,1
R_5uTbExzu7Osqcb7,NfD5PKGzZSHiMziDZ,2,3,2,1,,3,,4,4,6,5,7,7,2,2,7,7,4,3
R_2wQYd4EfRs8Fmyq,sXZRJJZZ4ukn5Rhsa,2,3,1,2,,6,,4,7,6,6,7,6,7,7,5,7,5,6
R_2ARnCByJWFbYG7k,mhWeQdWa9FaKczAnW,1,2,3,5,,5,,4,7,5,6,6,6,1,1,1,1,3,4
R_2f3UOoDosXTnXn6,KtmBDbHyRWmxF3pSe,2,3,4,2,,5,,4,7,6,5,6,6,3,7,7,7,4,3
R_2ePYRrGwjtAoWrs,6puo2keQXS7qFE8Gt,3,3,2,2,,6,,4,6,7,4,7,3,7,7,7,7,3,1
R_1daBoVyP7oRETqh,C8ZZyaoAKK74u5sYq,3,3,1,1,,6,,4,3,5,7,5,6,3,5,6,7,5,2
R_88oRRFE16nYHylH,NEBKBc4v4z22JjHsM,2,5,3,2,,3,,4,7,5,5,7,3,1,2,7,6,1,7
R_2EcUWfOK6Ctx2kF,9et3SfHGXPybDEQvA,1,5,1,5,,4,,4,6,4,4,7,3,2,7,4,6,6,4
R_3HSIw5w3JQN3C0Z,dC92XDi5WvMMhu33h,1,1,3,2,,4,,4,2,7,6,5,6,4,2,2,4,1,1
R_1M3W4iGH2znoNrJ,jFJJMNpjqg3TTB3vH,2,2,3,2,,7,,4,7,5,5,7,4,3,5,4,6,6,4
