R_2fuMrIJi06tPZDv,2/23/16 14:28,2/23/16 14:32,6SEWxX7BWwdBNKtgP,6SEWxX7BWwdBNKtgP,,,0,2,,,,,,,,,0,1,0,3,0,2,0,1,0,3,,,,,,,,,,,0,2,,,,,,,,,,,0,1,0,3,,,0,2,,,,,,,,,0,3,0,1,,,0,3,,,,,0,2,,,0,1,,,,,
R_urLIUrpLDv1Le0x,2/23/16 14:37,2/23/16 14:39,AqpMTK8pfa3ZDgCnX,AqpMTK8pfa3ZDgCnX,,,0,1,,,,,0,2,,,0,3,,,0,2,,,,,,,,,0,3,,,0,1,0,1,0,2,,,,,,,,,,,0,3,0,2,,,,,,,,,,,0,3,0,1,0,1,0,3,,,,,,,,,,,0,2,,,
R_1JJHWgLw2q1mpfJ,2/23/16 15:04,2/23/16 15:06,CLtNCJghz2jZqxeK9,CLtNCJghz2jZqxeK9,0,1,0,2,0,3,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,0,3,0,2,,,,,,,,,,,,,
R_3dTe74d9FSXbw5N,2/23/16 15:16,2/23/16 15:17,MyrQHPY3F4WLXmc5X,MyrQHPY3F4WLXmc5X,,,0,2,,,,,,,,,0,1,0,3,0,3,0,2,,,,,,,,,0,1,,,,,,,,,,,0,3,,,0,1,0,2,,,,,,,,,0,3,,,0,1,0,2,0,1,0,3,,,,,,,,,0,2,,,,,
R_2ZQ43rFh2nLFuBp,2/24/16 10:56,2/24/16 10:57,z3zTMtRhkLDei8wuP,z3zTMtRhkLDei8wuP,0,2,,,,,0,3,,,,,,,0,1,0,3,,,,,0,2,,,,,0,1,,,,,,,,,0,2,,,,,0,1,0,3,,,0,3,,,0,2,,,,,,,0,1,,,,,,,0,1,,,,,0,2,0,3,,,
R_9Y7OexbMINusLId,2/24/16 19:09,2/24/16 19:10,YGJd65DmqYzQazNgB,YGJd65DmqYzQazNgB,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,0,3,,,,,,,,,,,,,
R_3ktfoNXmCL5debM,2/25/16 14:08,2/25/16 14:10,fhuLXXHqMQ5d8rDAn,fhuLXXHqMQ5d8rDAn,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,1,0,3,,,,,,,,,0,2,,,0,1,0,3,,,,,,,,,0,2,,,,,
R_1ousAeZeiETkQ8T,2/26/16 2:53,2/26/16 2:56,QmvwaSmSW9vegKCLm,QmvwaSmSW9vegKCLm,0,3,,,0,1,,,0,2,,,,,,,,,,,0,3,,,0,1,,,0,2,,,,,0,3,,,,,0,2,,,0,1,,,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,
R_2ZUoCPpd7pzEGhe,2/26/16 13:57,2/26/16 14:00,u4ij2RsfoD2QLvBEb,u4ij2RsfoD2QLvBEb,0,2,,,0,1,,,,,0,3,,,,,,,,,0,2,,,,,0,1,0,3,,,,,,,,,,,0,3,0,1,0,2,,,0,1,,,0,3,,,,,0,2,,,,,0,1,,,0,3,,,,,0,2,,,,,,,
R_3iVlPunT6bQ07C6,2/27/16 22:13,2/27/16 22:18,AwhQeCLDxEyvjTy3X,AwhQeCLDxEyvjTy3X,0,1,,,0,3,,,0,2,,,,,,,0,1,,,,,,,0,2,,,,,0,3,0,2,,,,,,,0,3,,,,,0,1,0,2,,,,,,,0,1,,,,,0,3,0,3,0,2,,,,,,,,,,,0,1,,,
R_1NsKKcL4uQBhr7U,2/28/16 2:46,2/28/16 2:47,43rAun7MweDZDbiR5,43rAun7MweDZDbiR5,0,1,0,2,,,0,3,,,,,,,,,,,0,3,,,,,,,0,1,,,0,2,,,,,0,3,0,1,,,,,,,0,2,,,0,3,0,2,,,,,,,0,1,,,0,3,0,1,,,,,,,0,2,,,,,,,
R_10uwGaleWIZeGUq,2/28/16 4:12,2/28/16 4:15,YM8venxunpNq9B2xq,YM8venxunpNq9B2xq,,,0,1,,,,,0,2,,,,,0,3,0,1,0,2,0,3,,,,,,,,,,,,,0,1,0,3,,,,,,,,,0,2,,,0,1,0,3,,,,,,,,,0,2,0,1,0,2,0,3,,,,,,,,,,,,,
R_zVxkeh9PNAX0RY5,2/28/16 13:32,2/28/16 13:34,no24mX6RndnhrbK2G,no24mX6RndnhrbK2G,0,1,0,2,,,,,,,,,,,0,3,0,2,,,0,1,,,,,,,,,0,3,0,2,,,,,,,,,0,1,,,0,3,0,1,0,2,,,,,,,0,3,,,,,0,2,0,1,,,,,,,,,,,0,3,,,
R_2ydfqyUWeNxJ8iK,2/28/16 8:20,2/28/16 13:56,bgy5jAMHTgznc4ux5,bgy5jAMHTgznc4ux5,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,1,,,0,3,,,0,2,,,,,
R_1gG7TEzjD1yMMXq,2/28/16 14:58,2/28/16 15:01,Bpj4sGSnkFdkCCxNf,Bpj4sGSnkFdkCCxNf,,,,,0,3,,,,,0,1,0,2,,,,,0,3,0,1,,,,,,,0,2,,,,,,,0,2,,,,,0,3,0,1,,,,,,,0,2,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,,,,,
R_1FkBJauQtx9N4ba,2/29/16 1:42,2/29/16 1:44,ptvCG2FEvcGE6NwA6,ptvCG2FEvcGE6NwA6,0,1,,,,,0,2,0,3,,,,,,,,,,,,,0,2,0,3,,,,,0,1,,,0,2,,,,,,,,,0,3,0,1,0,1,0,3,,,0,2,,,,,,,,,0,1,0,2,,,,,0,3,,,,,,,,,
R_pEH7Ddzqd9Jhh2F,2/29/16 8:41,2/29/16 8:42,mMzbDo23w5dTrdSEk,mMzbDo23w5dTrdSEk,0,3,0,2,,,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,,,0,2,0,3,,,,,,,0,1,,,,,0,3,0,2,,,,,,,0,1,,,0,3,0,2,,,,,,,,,0,1,,,,,
R_3e3P5rowkyVJgyJ,2/29/16 9:33,2/29/16 9:39,b3JmtzQJQgAcnZnYE,b3JmtzQJQgAcnZnYE,0,2,,,0,1,,,0,3,,,,,,,,,,,0,3,,,0,1,,,0,2,,,,,0,1,0,3,,,0,2,,,,,,,,,,,0,3,,,0,2,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,,,
R_bO6jGbPoTWaKspz,2/29/16 9:39,2/29/16 9:42,6A43r9ZERAEEDbZ8E,6A43r9ZERAEEDbZ8E,,,0,2,,,,,0,1,,,0,3,,,0,3,,,,,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,2,,,0,1,,,0,3,,,,,
R_3dQEH0MdIdIaSMk,2/29/16 9:49,2/29/16 9:51,XAgek4Txgcr6zNhkX,XAgek4Txgcr6zNhkX,0,3,,,0,2,,,,,,,0,1,,,0,2,0,1,,,,,,,,,0,3,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,1,0,2,,,,,,,,,0,3,,,,,
R_2RUEx4aAUBTLbxV,2/29/16 11:35,2/29/16 11:37,dBkvJWWnppXkwvRnw,dBkvJWWnppXkwvRnw,,,,,,,,,0,1,0,2,0,3,,,0,1,0,3,,,0,2,,,,,,,,,0,3,,,,,,,,,0,1,0,2,,,,,,,,,0,3,,,0,1,0,2,,,0,2,0,1,,,,,,,,,,,0,3,,,
R_2cA532k19wJwDCx,2/29/16 13:19,2/29/16 13:22,2HF6FqEczphrX2Bid,2HF6FqEczphrX2Bid,,,,,,,,,0,2,,,0,1,0,3,0,1,,,0,3,,,,,,,0,2,,,,,,,,,,,0,2,,,0,1,0,3,,,,,0,3,,,,,,,0,2,0,1,0,1,,,0,2,,,,,,,,,0,3,,,
R_3r62JU3kNoIAkcV,2/29/16 18:05,2/29/16 18:06,XgZraYjGuDarzP3r7,XgZraYjGuDarzP3r7,,,,,0,1,,,0,3,,,0,2,,,0,1,0,2,,,,,,,,,0,3,,,,,,,0,1,,,0,3,,,0,2,,,0,3,,,0,1,,,0,2,,,,,,,0,2,0,1,,,,,,,,,,,0,3,,,
R_1IafVIyqbxamuf0,2/29/16 18:24,2/29/16 18:26,PqWLTxemD9c69esfF,PqWLTxemD9c69esfF,,,,,0,2,,,0,3,,,0,1,,,0,1,,,0,3,,,,,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,,,,,0,3,,,,,,,0,1,0,2,0,2,0,1,,,,,,,,,0,3,,,,,
R_BwVA8wEjq255noZ,3/1/16 1:39,3/1/16 1:41,za7LyLyEjai9LEXHc,za7LyLyEjai9LEXHc,,,,,0,2,,,,,,,0,1,0,3,0,1,0,2,,,,,,,,,,,0,3,,,,,0,2,,,,,,,0,1,0,3,,,,,0,2,,,,,,,0,1,0,3,0,2,0,1,0,3,,,,,,,,,,,,,
R_0TD7axk0xge4WuB,3/1/16 4:21,3/1/16 4:26,PmfEWQEeSM8RQm9sL,PmfEWQEeSM8RQm9sL,,,,,0,2,,,0,1,,,0,3,,,,,0,1,,,,,0,3,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,0,2,0,1,,,,,,,,,0,3,,,,,
R_ezVAsh9GnVXpyGl,3/1/16 5:35,3/1/16 5:45,wZbv3M3dFcDzAi36e,wZbv3M3dFcDzAi36e,,,0,3,,,,,,,,,0,2,0,1,0,1,0,2,,,,,,,,,0,3,,,,,0,3,,,,,0,2,,,0,1,,,0,2,0,1,,,,,,,,,0,3,,,0,1,0,2,,,,,,,,,,,0,3,,,
R_3LbgLbXVMFTfx9b,3/1/16 9:30,3/1/16 9:33,LpifnQpyoAC96S573,LpifnQpyoAC96S573,,,0,3,,,,,0,2,,,0,1,,,0,2,0,1,,,,,,,,,0,3,,,,,0,2,,,,,0,3,,,0,1,,,,,0,3,,,,,0,2,,,0,1,,,0,2,0,1,,,,,,,,,0,3,,,,,
R_1giGZ3b91J1OvBc,3/1/16 10:01,3/1/16 10:05,pnco6QuR9SNdHu77x,pnco6QuR9SNdHu77x,0,1,,,0,2,,,,,,,0,3,,,0,1,0,2,0,3,,,,,,,,,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,1,0,2,0,3,,,,,,,,,,,,,
R_PzzalmCKTov5Lt7,3/1/16 11:12,3/1/16 11:15,NLM74X7BawyDFny4v,NLM74X7BawyDFny4v,,,,,,,,,,,0,2,0,1,0,3,0,2,,,,,,,0,3,,,0,1,,,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,2,0,3,0,1,,,,,,,,,,,0,3,0,2,0,1,,,,,
R_3EnZSh2dzAfPBXn,3/1/16 11:11,3/1/16 11:32,xnnYT3aWf6eE4Q6y9,xnnYT3aWf6eE4Q6y9,0,1,,,,,0,2,0,3,,,,,,,0,2,,,0,3,,,,,,,0,1,,,,,,,0,3,,,0,2,0,1,,,,,,,,,0,1,,,,,0,2,0,3,,,,,,,,,0,3,0,2,0,1,,,,,,,
R_2SC4FiDG3D6JRTn,3/1/16 11:34,3/1/16 11:36,DyGdnuktRvCnzAwJi,DyGdnuktRvCnzAwJi,,,,,,,,,0,2,0,3,0,1,,,0,1,,,,,,,0,2,,,,,0,3,,,,,,,,,,,0,2,0,1,0,3,,,,,,,,,,,0,2,0,1,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_233NhB2FuU9MO6Z,3/1/16 12:17,3/1/16 12:18,XCDm5KKWWLKo82ig8,XCDm5KKWWLKo82ig8,0,2,0,1,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,0,1,,,,,,,,,0,2,0,3,0,2,0,1,,,,,,,,,,,0,3,0,2,0,1,0,3,,,,,,,,,,,,,
R_3gRfpC8GFKcX8XH,3/1/16 13:23,3/1/16 13:25,usYEPKufrajuNF47i,usYEPKufrajuNF47i,,,,,0,1,,,0,2,,,0,3,,,0,1,0,2,,,,,,,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,0,3,,,,,,,0,2,,,0,1,,,,,0,1,0,3,,,,,,,0,2,,,,,
R_3yEsRliwCEMvfax,3/1/16 15:42,3/1/16 15:45,K3ZMCWFyEZDHrTyJs,K3ZMCWFyEZDHrTyJs,0,2,,,0,1,,,0,3,,,,,,,,,0,2,,,,,0,3,,,,,0,1,0,3,,,,,,,0,2,,,0,1,,,0,3,0,2,,,,,0,1,,,,,,,0,1,0,2,,,,,,,,,,,0,3,,,
R_zSRTPftTGKY6o4F,3/1/16 17:29,3/1/16 17:30,8RWtRBznZwaQXtTjy,8RWtRBznZwaQXtTjy,,,,,,,,,0,1,0,2,0,3,,,,,,,0,3,,,,,0,2,0,1,,,,,,,0,2,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,0,3,,,,,,,,,0,3,,,0,1,0,2,,,,,
R_vrbxb64zjL5AfDj,3/1/16 17:30,3/1/16 17:33,9n5EpvJB2WfCAocg2,9n5EpvJB2WfCAocg2,,,0,3,,,,,0,1,,,0,2,,,0,1,0,2,0,3,,,,,,,,,,,,,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,,,0,2,,,,,0,1,,,,,0,2,,,0,3,,,,,
R_3QDg5VQQekg62mY,3/1/16 18:11,3/1/16 18:14,7pCqtPS3WupS8an42,7pCqtPS3WupS8an42,,,0,1,0,2,,,0,3,,,,,,,0,1,0,2,0,3,,,,,,,,,,,0,2,0,3,,,,,,,,,0,1,,,0,2,,,,,,,0,3,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,,,
R_2f6Tdv0IM5cAYY9,3/1/16 18:53,3/1/16 18:56,HzyJf3ecpepyFffL9,HzyJf3ecpepyFffL9,,,,,0,2,,,,,0,1,0,3,,,0,2,,,0,3,,,,,0,1,,,,,,,,,0,2,,,,,0,1,0,3,,,,,,,0,3,,,,,0,1,0,2,,,0,1,0,2,,,,,,,,,,,0,3,,,
R_b4wv3Ofc3gbd693,3/1/16 23:22,3/1/16 23:24,TYLSC3JKidf2ijqLa,TYLSC3JKidf2ijqLa,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,1,,,0,3,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,,,
R_1P6vbWnDXOKA0s9,3/2/16 4:53,3/2/16 4:55,RMo96PZASrs7J7ShD,RMo96PZASrs7J7ShD,0,1,0,3,,,,,0,2,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,1,,,,,,,0,2,,,0,3,,,0,1,,,,,,,0,3,,,0,2,,,0,1,0,2,,,,,0,3,,,,,,,,,
R_3n8H7A95D08vlSE,3/2/16 6:25,3/2/16 6:27,zr6MbzW9igA4q3Bpk,zr6MbzW9igA4q3Bpk,0,3,0,1,,,,,,,,,,,0,2,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_3jdshEfcm9q5gIj,3/2/16 10:21,3/2/16 10:22,8AFCu9YsQmR2WDkrk,8AFCu9YsQmR2WDkrk,,,0,1,,,,,0,2,,,0,3,,,0,1,0,2,,,,,,,,,0,3,,,,,,,0,2,,,0,1,,,,,0,3,0,3,,,,,,,0,1,,,0,2,,,,,0,3,0,2,,,0,1,,,,,,,,,
R_3pfdFiAYXnSQMym,3/2/16 14:54,3/2/16 14:58,FK4Hu9RZqcpEHNEsT,FK4Hu9RZqcpEHNEsT,0,3,,,,,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,,,
R_129Z5w9W2fwh9GF,3/2/16 20:13,3/2/16 20:15,kzsfFDBTiA8Hm5zG8,kzsfFDBTiA8Hm5zG8,,,,,0,3,,,0,2,,,0,1,,,0,2,0,3,,,,,,,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,0,3,0,1,,,,,,,0,2,,,,,0,3,0,1,,,,,,,0,2,,,,,
R_2rSE65KTI2Vqv5h,3/2/16 22:56,3/2/16 22:58,zBGtTaoT9NXXoiDCo,zBGtTaoT9NXXoiDCo,0,3,0,2,,,,,,,,,,,0,1,0,2,0,1,,,,,,,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,
R_DMmyoHcYd4A5TUd,3/4/16 1:42,3/4/16 1:45,5FeAYE9ht2bBCK8Lk,5FeAYE9ht2bBCK8Lk,0,3,,,,,,,0,1,,,0,2,,,,,0,3,,,,,0,1,,,0,2,,,,,0,3,0,2,,,0,1,,,,,,,0,3,,,,,,,0,1,,,0,2,,,,,,,0,2,,,0,3,,,0,1,,,,,
R_diqLWnmkXPvfux3,3/4/16 1:52,3/4/16 1:54,ppT2KoixinaKc9zLD,ppT2KoixinaKc9zLD,,,,,0,2,,,,,,,0,1,0,3,0,1,0,2,0,3,,,,,,,,,,,,,,,0,1,,,,,,,0,2,0,3,,,,,0,1,,,0,2,,,,,0,3,0,1,0,2,0,3,,,,,,,,,,,,,
R_1JFWyTG9BHZiN9g,3/4/16 8:20,3/4/16 8:21,J2cummHqPe6hMCzQa,J2cummHqPe6hMCzQa,,,,,0,2,,,0,3,,,0,1,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,2,,,0,3,,,,,
R_3dWHndETFlzH5JI,3/4/16 12:38,3/4/16 12:40,TmShwF9bwp277DCmb,TmShwF9bwp277DCmb,,,0,3,0,2,,,,,,,0,1,,,0,1,0,2,,,,,,,,,0,3,,,0,2,0,3,,,,,,,,,0,1,,,0,2,0,3,,,,,,,,,0,1,,,0,2,0,1,0,3,,,,,,,,,,,,,
R_2sJGkG17A0Bz5ex,3/5/16 7:50,3/5/16 7:52,XXfq2mbXgiwoevAzb,XXfq2mbXgiwoevAzb,,,0,1,0,2,,,0,3,,,,,,,0,2,0,1,0,3,,,,,,,,,,,,,0,1,0,3,,,,,,,0,2,,,,,0,1,,,,,0,2,,,0,3,,,0,1,0,2,,,,,0,3,,,,,,,,,
R_2fBCEHScTDijyI2,3/5/16 9:37,3/5/16 9:40,dnjt4zkQjoZRiipyw,dnjt4zkQjoZRiipyw,,,,,0,3,,,0,1,,,0,2,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,2,,,,,0,3,0,1,,,,,,,0,2,,,0,1,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,,,
R_3j0TV9PJaPFVMEs,3/5/16 9:44,3/5/16 9:46,A4p7aBR98rJFBJaEL,A4p7aBR98rJFBJaEL,,,0,2,,,0,1,,,,,,,0,3,0,2,,,0,3,,,0,1,,,,,,,,,0,3,,,0,1,,,,,,,0,2,,,0,3,,,0,2,,,,,,,0,1,0,1,,,0,2,,,,,,,,,0,3,,,
R_866M009pNF4SfER,3/5/16 9:53,3/5/16 9:54,BefdwBcYMvaHfGgwn,BefdwBcYMvaHfGgwn,0,3,0,2,,,0,1,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,0,2,0,1,,,,,,,,,,,0,1,0,3,0,2,,,,,,,,,,,0,3,0,1,0,2,,,,,,,,,,,,,
R_1oHod9DhAnaXlSk,3/5/16 10:33,3/5/16 10:37,oD7a6GFkarvp84PRt,oD7a6GFkarvp84PRt,,,0,3,,,,,,,0,2,0,1,,,0,2,0,1,,,,,,,0,3,,,,,0,3,,,,,,,,,0,2,0,1,,,0,3,,,,,,,,,0,2,0,1,,,,,,,0,1,,,,,0,3,0,2,,,,,
R_1OSPy1EDGaBwROS,3/5/16 23:14,3/5/16 23:15,trErkp8jGhzNAdEsC,trErkp8jGhzNAdEsC,,,0,2,0,3,,,,,,,0,1,,,0,2,0,1,0,3,,,,,,,,,,,,,0,2,0,3,,,,,,,0,1,,,,,0,3,,,,,0,1,,,0,2,,,0,2,0,1,0,3,,,,,,,,,,,,,
R_1FQUtnvwWWg1DWJ,3/6/16 9:09,3/6/16 9:10,fQW4FvoD7YJtY65Xj,fQW4FvoD7YJtY65Xj,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,,,,,0,3,,,,,
R_1ieoLl9m7lHEGWk,3/6/16 9:47,3/6/16 9:49,XjQr98bXFF7M3ndcy,XjQr98bXFF7M3ndcy,,,,,0,2,,,,,,,0,3,0,1,,,,,0,2,,,0,3,,,,,0,1,0,2,,,0,3,,,,,,,0,1,,,,,,,,,,,0,3,,,0,2,0,1,0,1,,,,,,,0,3,,,0,2,,,,,
R_064yRsoUUb4p94t,3/6/16 9:54,3/6/16 9:57,5TdrRvXeviEEB2782,5TdrRvXeviEEB2782,,,0,2,0,3,,,,,,,0,1,,,0,1,,,0,3,0,2,,,,,,,,,0,3,,,,,0,2,,,,,0,1,,,0,2,,,,,0,3,,,,,0,1,,,0,1,0,2,,,0,3,,,,,,,,,,,
R_W9eeOBKmzgIQpt7,3/6/16 10:03,3/6/16 10:06,ozofPi8aj5tyaT4eg,ozofPi8aj5tyaT4eg,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,1,0,2,,,,,,,,,0,3,,,,,
R_1i4C5xjdDptYDvh,3/6/16 10:44,3/6/16 10:46,gouSf322Wfbff39Ry,gouSf322Wfbff39Ry,,,,,0,3,,,0,1,,,0,2,,,0,2,0,1,,,,,,,,,0,3,,,,,0,3,,,,,0,2,,,0,1,,,,,0,1,,,,,0,3,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,,,
R_d6x7tJFVDOd0w01,3/6/16 11:07,3/6/16 11:10,zHSLFZ2ThvDD5HYzx,zHSLFZ2ThvDD5HYzx,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,1,0,3,,,,,,,,,0,2,,,0,1,,,0,3,,,,,,,0,2,,,0,2,0,1,,,,,,,,,0,3,,,,,
R_scd7DmpN2He51kt,3/6/16 13:40,3/6/16 13:43,nxAYw9WDEpZEActyW,nxAYw9WDEpZEActyW,,,,,0,1,,,0,2,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,,,,,0,2,,,0,1,,,,,0,3,,,,,0,2,,,0,1,,,,,0,3,0,1,0,2,0,3,,,,,,,,,,,,,
R_qLxmFSEPnD6TIvn,3/6/16 14:06,3/6/16 14:08,sRnsZm6AXGfuFXaBL,sRnsZm6AXGfuFXaBL,0,2,,,0,3,,,,,,,,,0,1,0,1,,,,,,,0,2,,,,,0,3,,,0,2,,,0,1,0,3,,,,,,,,,,,,,0,2,0,1,,,0,3,,,,,0,3,0,2,0,1,,,,,,,,,,,
R_22sIWUzF9HE0zY9,3/6/16 19:03,3/6/16 19:05,EK5MKqzgwbKp4H3b3,EK5MKqzgwbKp4H3b3,,,0,2,0,3,,,,,,,0,1,,,0,2,,,0,1,,,,,,,0,3,,,0,3,0,2,,,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,2,0,1,,,,,,,,,0,3,,,,,
R_3Po7a8gDNUfQMcr,3/6/16 21:22,3/6/16 21:24,qgdrKE9jGNxfQQS8Z,qgdrKE9jGNxfQQS8Z,,,0,3,,,,,,,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,,,,,0,1,0,2,,,,,,,0,3,,,,,,,0,3,,,,,0,1,0,2,,,,,
R_115QZ2bhmHOCMBG,3/6/16 21:24,3/6/16 21:27,7WepedTffMwj4827y,7WepedTffMwj4827y,,,,,,,0,2,0,1,,,,,0,3,0,1,0,2,,,,,,,,,,,0,3,,,,,0,3,0,2,,,,,,,0,1,,,,,,,0,2,,,,,0,3,0,1,,,0,3,,,0,2,,,,,,,0,1,,,
R_2Sfzv1En63zWMzK,3/6/16 21:55,3/6/16 21:59,qXjSPCjisfJ95eEvt,qXjSPCjisfJ95eEvt,,,0,2,,,,,0,1,,,,,0,3,0,2,0,1,,,,,,,,,,,0,3,,,0,2,,,,,0,1,,,,,0,3,,,,,,,,,0,2,,,0,1,0,3,0,2,0,1,,,,,,,,,0,3,,,,,
R_2P1fNmIEiZAXlLn,3/7/16 0:12,3/7/16 0:15,rzgwdpdiJDSxYGZnA,rzgwdpdiJDSxYGZnA,,,0,3,,,,,,,0,1,0,2,,,0,2,,,,,,,,,0,3,0,1,,,,,0,3,,,,,,,0,1,0,2,,,,,0,3,,,,,,,0,1,0,2,,,0,2,,,,,,,,,0,1,0,3,,,,,
R_3MRL75spGiwLenR,3/7/16 8:05,3/7/16 8:07,J4zEKsDmhBZRemQxx,J4zEKsDmhBZRemQxx,,,,,0,2,,,,,0,3,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,0,2,,,0,3,,,,,,,0,1,,,,,
R_9sjUn1sYeJb35QJ,3/7/16 8:13,3/7/16 8:15,L4YKzb3s57NWd6NAv,L4YKzb3s57NWd6NAv,,,,,0,3,,,,,,,0,1,0,2,0,2,,,0,1,0,3,,,,,,,,,,,,,,,,,0,2,,,0,1,0,3,0,2,,,,,,,0,3,,,0,1,,,0,1,,,0,2,,,0,3,,,,,,,,,
R_1Kd9fEnEQ7CXVlp,3/7/16 8:52,3/7/16 8:54,H4f5GuygEFHZk35Nx,H4f5GuygEFHZk35Nx,,,0,1,,,,,0,3,,,,,0,2,0,3,0,1,0,2,,,,,,,,,,,0,2,0,3,,,,,,,0,1,,,,,0,3,0,1,,,,,0,2,,,,,,,0,1,0,2,,,,,,,,,,,0,3,,,
R_3sp5oUSlI20Ia9y,3/7/16 11:03,3/7/16 11:05,3Scv4Lh7AfesJPwhd,3Scv4Lh7AfesJPwhd,,,,,0,3,,,0,1,,,0,2,,,0,3,0,2,,,0,1,,,,,,,,,,,,,0,3,,,0,1,,,0,2,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,,,0,3,,,,,0,1,,,,,
R_3scCBGaCIhbOPR8,3/7/16 12:18,3/7/16 12:22,eBK9ZbEMsYZr4qvN5,eBK9ZbEMsYZr4qvN5,,,,,0,3,,,0,1,,,0,2,,,,,,,0,1,,,0,3,,,0,2,,,,,0,3,,,,,0,2,,,0,1,,,,,,,0,3,,,0,2,,,0,1,,,0,3,,,0,1,,,,,,,0,2,,,,,
R_1pVCpLD6XHZafCo,3/7/16 12:51,3/7/16 12:53,3JMeDjgsrTwoAgacu,3JMeDjgsrTwoAgacu,0,1,,,,,,,0,2,,,,,0,3,0,2,,,0,1,,,,,,,,,0,3,0,2,,,0,3,,,,,,,,,0,1,0,1,0,2,,,,,,,,,,,0,3,0,1,0,3,0,2,,,,,,,,,,,,,
